asks,bids,number_of_transaction,time_between_block,Avg_Bitcoin_network_hashrate,Block size votes,Blockchain blocks size,Bid-ask spread,trade_per_minutes,price,signal
459056.8604,2506081.468,207777,10.5377129,2.60805E+18,136,675226.5401,0.067144432,40.44631944,8286.282525,1
442922.8587,2529574.069,193975,8.942872117,2.79378E+18,159,629955.9811,0.071805405,38.12826389,8717.193286,1
476363.2894,2636793.781,171870,9.114375,2.74121E+18,160,455695.1125,0.076172856,28.49833333,8818.68271,1
451450.3861,2672487.037,226353,9.403376906,2.65697E+18,153,630297.183,0.0673759,27.87805556,8902.198674,1
452341.2189,2693301.976,254493,8.986897275,2.7801E+18,158,802138.8553,0.054999133,50.39722222,9267.836227,-1
473772.7349,2656044.897,213155,11.44092141,2.18378E+18,123,887176.3171,0.067501761,65.68472222,9125.213317,-1
478949.4984,2524768.858,216732,10.3570922,2.65353E+18,141,734194.8652,0.072607172,42.09680556,8796.022355,1
483480.9885,2688081.965,211119,10.31349765,2.28092E+18,142,811917.4648,0.061695785,36.13034722,9137.759951,-1
693076.8715,2657920.452,203681,11.25755208,2.32499E+18,128,713110.2969,0.068609234,34.25819444,9075.166617,1
721909.2002,2574524.651,180798,9.091455696,2.87893E+18,158,520843.1519,0.061134262,30.47472222,9137.486619,-1
628567.5141,2642730.162,215107,9.248602151,2.83001E+18,155,615830.2452,0.058747737,29.14659722,9109.343058,-1
618268.721,2545652.958,199959,9.148734177,2.8609E+18,158,557528.0696,0.061062267,33.35006944,8948.807743,1
574198.0699,2666483.536,212296,10.2725,2.80273E+18,139,701229.55,0.055532125,25.75,9029.960416,1
522023.3951,2379693.891,228521,9.578918322,2.50472E+18,150,733213.3046,0.059910849,39.793125,9242.283281,1
506084.2703,2746570.41,219069,10.30157005,2.54074E+18,137,822656.7971,0.066199151,30.82694444,9652.554986,1
482759.8744,2911764.613,202703,9.060662526,2.88871E+18,161,611905.6894,0.061958197,30.87125,9743.061488,-1
591796.2541,2808040.137,171761,10.44087591,2.50684E+18,137,630682.0657,0.067459785,29.460625,9561.314619,-1
621398.1991,2481259.326,205063,9.661444444,2.70908E+18,150,723692.7467,0.06723837,31.85381944,9303.387905,-1
456108.9906,2810721.885,217810,10.27146283,2.33584E+18,139,782188.8273,0.062585569,30.7,9236.49275,-1
457165.1311,2910465.163,206579,9.078958333,2.64265E+18,160,620149.5313,0.064238568,27.94583333,9159.90601,1
465252.0244,2976313.415,208961,9.291233766,2.81703E+18,152,617936.3052,0.062675471,26.73368056,9252.359264,-1
470172.6425,2739035.466,213624,11.39553806,2.16619E+18,126,838356.7953,0.074854416,46.60729167,8673.999245,-1
470360.086,2716426.693,182054,8.678585859,3.10723E+18,165,521723.0121,0.08560079,35.88104167,8333.39613,1
465317.4686,2817795.826,158794,9.74222973,2.76799E+18,148,471553.723,0.081019841,25.59194444,8494.670924,1
599918.1773,2649277.044,209697,10.96414141,2.25455E+18,131,725659.4242,0.076302236,37.80604167,8525.073083,1
730321.0544,2518476.625,214779,9.84543379,2.51073E+18,146,641074.9315,0.077550225,32.33756944,8581.592317,-1
640332.0821,2589196.665,208463,7.916014898,3.40656E+18,179,501608.9274,0.074668405,34.489375,8197.475969,1
467896.1368,2681546.487,192683,10.96565657,2.08083E+18,132,719248.4773,0.073261467,28.87826389,8198.256289,-1
477594.3761,2624685.196,211496,9.768355856,2.53054E+18,147,696166.0743,0.073850901,27.05618056,8026.098731,1
473626.2759,2681329.442,173274,9.415800866,2.86395E+18,154,478502.3442,0.07495686,18.03777778,8204.876161,1
465778.6478,2707739.479,158663,10.01956019,2.46709E+18,144,457309.7569,0.082642409,18.98909722,8315.090374,1
466271.1072,2735903.425,202647,9.137898089,2.70513E+18,157,628267.7834,0.071305318,20.65166667,8405.079809,-1
440809.7397,2634317.88,203337,9.484547461,2.84319E+18,150,566566.7351,0.075159268,23.49368056,8196.222437,-1
451418.1107,2612245.52,223196,8.900720165,3.33266E+18,162,611116.7469,0.078248432,41.99083333,7763.302518,-1
468996.3715,2524465.922,206825,10.11305361,2.71492E+18,142,595684.4336,0.079690555,35.08145833,7487.847827,-1
460059.2564,2339427.3,196181,8.144602273,3.15448E+18,176,505682.2557,0.09050018,26.55506944,7411.333303,-1
478384.0668,2337055.654,158783,8.935493827,2.87527E+18,161,397054.5247,0.079726904,17.89909722,7394.79981,-1
484355.1064,2284620.902,144304,8.801727642,3.89196E+18,164,367762.0671,0.083936797,18.39736111,7265.818298,-1
458548.7881,2254820.977,189063,8.990598291,2.85765E+18,156,580647.9744,0.077382301,29.03506944,7242.398898,-1
452684.3048,2535239.366,204769,10.61558753,2.90425E+18,139,676531.8273,0.071448521,30.404375,7240.358873,1
466283.5483,2721784.357,204077,8.192720307,3.42104E+18,172,515856.6149,0.084333521,24.81826389,7435.552838,1
470531.3908,2590791.158,209526,8.562941176,3.27313E+18,169,553537.5529,0.073920045,22.98868056,7467.354233,-1
470784.1656,2330723.403,205481,8.67439759,3.23107E+18,166,588535.3373,0.065582704,22.55486111,7440.959437,1
477665.8876,2351545.708,174497,9.444846491,2.9675E+18,151,503805.5987,0.063819495,21.27208333,7565.467155,1
464119.2949,2308029.366,163443,8.858486708,3.48032E+18,163,672386.3374,0.058916118,19.53895833,7677.068923,-1
558284.5358,2267329.151,211721,7.898188406,3.25289E+18,184,933240.212,0.055374666,22.16375,7540.537246,-1
542661.657,2236453.936,212901,8.194095238,3.85742E+18,175,725488.4686,0.058807902,22.33909722,7407.776963,1
471611.4237,2099854.254,206417,9.807596372,3.60608E+18,147,850982.8435,0.055475882,20.70659722,7546.869235,1
555494.905,2505738.137,207627,10.11060606,3.18E+18,142,941532.3636,0.056092893,19.366875,7611.961862,1
574137.2882,2591207.083,200379,9.911724138,3.24381E+18,145,752633.5586,0.072289934,18.56298611,7613.863577,1
608828.1883,2393097.133,171306,9.992773893,3.2175E+18,143,513345.2308,0.075055036,13.41923611,7615.075451,-1
563944.2616,2238832.178,179809,11.40091864,2.8201E+18,127,595394.8583,0.08436011,39.56520833,7136.826162,-1
471955.443,2126280.321,213196,10.21857143,2.8842E+18,140,642353.1071,0.082710449,26.64076389,6683.288204,1
480780.8223,2133628.09,214595,10.02402299,3.92024E+18,145,877212.7241,0.082698379,26.02569444,6710.757099,-1
468317.5195,1963184.737,211829,9.991608392,3.53966E+18,143,750788.4615,0.093238076,33.40368056,6380.347362,1
470873.0848,2047750.132,210029,9.394444444,3.13722E+18,153,580405.0131,0.085672211,31.69986111,6451.195148,1
